DATE,DATE,LATITUDE,LONGITUDE,STREET1,STREET2,ROAD_CLASS,District,LOCCOORD,ACCLOC,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL
2009-09-25 04:00:00,2009-09-25 04:00:00,43.747645,-79.28399,LAWRENCE AVE E,BIRCHMOUNT RD,Major Arterial,Scarborough,Mid-Block,,None,East,Municipal Transit Bus (TTC),Pulling Away from Shoulder or Curb,Driving Properly,,,,
2009-09-19 04:00:00,2009-09-19 04:00:00,43.769545,-79.34649,DON MILLS RD,HAVENBROOK BLVD,Major Arterial,North York,Intersection,At Intersection,None,South,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,,Yes,,
2009-09-19 04:00:00,2009-09-19 04:00:00,43.769545,-79.34649,DON MILLS RD,HAVENBROOK BLVD,Major Arterial,North York,Intersection,At Intersection,Major,West,Other,,,,Yes,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,Minimal,South,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,,,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,Minimal,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,None,North,Intercity Bus,Going Ahead,Driving Properly,,,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,Minor,,,,,,,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,Minor,,,,,,,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,Major,,,,,,,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,Minor,,,,,,,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,Minimal,,,,,,,,
2014-10-24 04:00:00,2014-10-24 04:00:00,43.767462,-79.412438,YONGE ST,HILLCREST AVE,Major Arterial,North York,Intersection,Non Intersection,None,,,,,,,,
2016-06-22 04:00:00,2016-06-22 04:00:00,43.718318,-79.516246,120 BEVERLY HILLS DR,,Collector,Etobicoke York,Mid-Block,Non Intersection,None,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,
2016-06-22 04:00:00,2016-06-22 04:00:00,43.718318,-79.516246,120 BEVERLY HILLS DR,,Collector,Etobicoke York,Mid-Block,Non Intersection,None,,,,,,,,
2016-06-22 04:00:00,2016-06-22 04:00:00,43.718318,-79.516246,120 BEVERLY HILLS DR,,Collector,Etobicoke York,Mid-Block,Non Intersection,Major,East,,,,,,,
2016-12-04 05:00:00,2016-12-04 05:00:00,43.662909,-79.374309,CARLTON STREET,HOMEWOOD AVENUE,Minor Arterial,Toronto and East York,Intersection,At Intersection,None,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,,Yes,,
2016-12-04 05:00:00,2016-12-04 05:00:00,43.662909,-79.374309,CARLTON STREET,HOMEWOOD AVENUE,Minor Arterial,Toronto and East York,Intersection,At Intersection,Major,South,,,,,Yes,,
2016-08-27 04:00:00,2016-08-27 04:00:00,43.71342,-79.407489,18 CORTLEIGH BLVD,,Local,North York,Mid-Block,Non Intersection,None,,,,,Yes,Yes,,
2016-08-27 04:00:00,2016-08-27 04:00:00,43.71342,-79.407489,18 CORTLEIGH BLVD,,Local,North York,Mid-Block,Non Intersection,None,West,,Going Ahead,Speed too Fast For Condition,Yes,Yes,,
2016-08-27 04:00:00,2016-08-27 04:00:00,43.71342,-79.407489,18 CORTLEIGH BLVD,,Local,North York,Mid-Block,Non Intersection,Major,,,,,Yes,Yes,,
